epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,796.087,1.04188,0.69657,1.0238,0.67323,0.56757,0.6302,0.36955,1.5659,1.38252,1.29783,0.00153668,0.00153668,0.00153668
119,804.397,1.02662,0.65471,1.00073,0.65701,0.67306,0.67611,0.39089,1.55292,1.21724,1.28163,0.00153272,0.00153272,0.00153272
120,813.475,1.09349,0.72283,1.00469,0.67299,0.60811,0.68421,0.38428,1.60226,1.12921,1.32168,0.00152876,0.00152876,0.00152876
121,820.894,1.04366,0.69851,0.98421,0.73578,0.59459,0.6859,0.37915,1.61032,1.06564,1.32037,0.0015248,0.0015248,0.0015248
122,830.513,1.06966,0.67898,0.96952,0.7328,0.56757,0.67369,0.3745,1.61895,1.34747,1.29088,0.00152084,0.00152084,0.00152084
123,839.313,0.99635,0.66266,0.951,0.71532,0.61124,0.64923,0.36394,1.60437,1.36068,1.29143,0.00151688,0.00151688,0.00151688
124,849.122,0.99505,0.66708,0.96674,0.73454,0.58108,0.64807,0.36278,1.54144,1.20326,1.25031,0.00151292,0.00151292,0.00151292
125,857.449,1.01049,0.65872,0.9775,0.66504,0.59459,0.62705,0.33736,1.59236,1.27498,1.26204,0.00150896,0.00150896,0.00150896
126,867.072,0.99712,0.64641,0.94821,0.71665,0.58103,0.63476,0.36579,1.61079,1.41914,1.28735,0.001505,0.001505,0.001505
127,874.45,0.97763,0.64424,0.97051,0.65709,0.66216,0.66799,0.37472,1.52798,1.37121,1.24384,0.00150104,0.00150104,0.00150104
128,881.641,1.00662,0.67903,0.97504,0.60028,0.7027,0.68109,0.38772,1.51444,1.24948,1.23584,0.00149708,0.00149708,0.00149708
129,888.795,1.02034,0.64315,0.97413,0.63413,0.70265,0.67405,0.38079,1.50757,1.15584,1.24939,0.00149312,0.00149312,0.00149312
130,897.262,0.97681,0.61322,0.96956,0.65777,0.7027,0.69554,0.37056,1.50331,1.10407,1.26454,0.00148916,0.00148916,0.00148916
131,904.961,1.03458,0.67365,1.00376,0.73627,0.62162,0.68992,0.37039,1.55183,1.15962,1.26637,0.0014852,0.0014852,0.0014852
132,912.395,0.96808,0.61376,0.94768,0.7366,0.6047,0.67303,0.35141,1.70351,1.28589,1.35558,0.00148124,0.00148124,0.00148124
133,919.775,0.94692,0.63158,0.94412,0.6507,0.66216,0.6709,0.36209,1.5903,1.20396,1.31205,0.00147728,0.00147728,0.00147728
134,927.129,0.99104,0.62099,0.97103,0.7575,0.54054,0.64871,0.36234,1.50085,1.10432,1.2771,0.00147332,0.00147332,0.00147332
135,934.742,1.00815,0.65679,0.99334,0.75981,0.63514,0.68694,0.38346,1.50635,1.0691,1.25127,0.00146936,0.00146936,0.00146936
136,942.146,1.02372,0.62857,0.98235,0.62079,0.66369,0.65311,0.3451,1.57339,1.19724,1.26984,0.0014654,0.0014654,0.0014654
137,949.398,0.95628,0.6172,0.94386,0.70763,0.63514,0.62749,0.34331,1.54184,1.2845,1.25495,0.00146144,0.00146144,0.00146144
138,956.702,0.98577,0.62469,0.97533,0.69242,0.57803,0.61838,0.33501,1.58558,1.32709,1.2716,0.00145748,0.00145748,0.00145748
139,964.015,0.941,0.6047,0.96086,0.72222,0.55405,0.62055,0.33979,1.51161,1.26014,1.25152,0.00145352,0.00145352,0.00145352
140,971.383,0.97787,0.64904,0.96645,0.70122,0.59459,0.64616,0.36423,1.55258,1.27379,1.24957,0.00144956,0.00144956,0.00144956
141,978.719,0.96765,0.65327,0.95358,0.71342,0.59459,0.61208,0.33615,1.60585,1.34151,1.25326,0.0014456,0.0014456,0.0014456
142,986.027,0.93508,0.62665,0.93422,0.60284,0.65643,0.62882,0.342,1.57016,1.34339,1.27843,0.00144164,0.00144164,0.00144164
143,993.554,0.94499,0.58417,0.95796,0.64643,0.6177,0.65147,0.32421,1.71156,1.40288,1.33628,0.00143768,0.00143768,0.00143768
144,1000.96,0.95243,0.60723,0.97552,0.59647,0.63514,0.65043,0.37223,1.53449,1.36239,1.2358,0.00143372,0.00143372,0.00143372
145,1008.32,0.94752,0.60163,0.9634,0.63292,0.65245,0.62824,0.33878,1.55394,1.4081,1.2533,0.00142976,0.00142976,0.00142976
